Model_Size,Training_Step,Trace_Seed1,Trace_Seed2,Avg_Trace,CKA_Similarity,Midpoint_Loss,Avg_Endpoint_Loss,Loss_Barrier
70m,1000,-14300.754638671875,-8787.3876953125,-11544.071166992188,0.964751660823822,0.7545031309127808,6.916612386703491,-6.1621092557907104
70m,10000,-1530.8490397135417,371.3499348958333,-579.7495524088542,0.8142766356468201,0.5858482718467712,8.645489692687988,-8.059641420841217
70m,30000,4515.920538330078,2272.259266246449,3394.089902288263,0.8952828049659729,0.7466967701911926,8.613866806030273,-7.867170035839081
70m,70000,9881.848854980468,29841.329803466797,19861.589329223632,0.9555730223655701,1.311602234840393,8.313619136810303,-7.00201690196991
70m,100000,44783.40183738426,108933.4080882353,76858.40496280979,0.8331587314605713,0.8736335635185242,8.605812549591064,-7.73217898607254
70m,143000,94408.30637668919,374472.95988175675,234440.63312922296,0.6155933737754822,1.486397624015808,8.172914028167725,-6.6865164041519165
160m,1000,13107.040649414062,-17394.27158203125,-2143.6154663085945,0.9374085068702698,1.1487921476364136,13.320211410522461,-12.171419262886047
160m,10000,15899.264964136584,-663.55908203125,7617.852941052667,0.8900021910667419,0.7779175639152527,15.64408254623413,-14.866164982318878
160m,30000,-26962.5712890625,-6420.171875,-16691.37158203125,0.9224660992622375,1.7314722537994385,14.53255844116211,-12.801086187362671
