Model_Size,Training_Step,Trace_Seed1,Trace_Seed2,Avg_Trace,CKA_Similarity,Midpoint_Loss,Avg_Endpoint_Loss,Loss_Barrier
14m,1000,9076.766978870739,3825.5077500454213,6451.13736445808,0.9384739398956299,1.2148386240005493,14.108551502227783,-12.893712878227234
14m,10000,-19522.102213541668,-1051.646484375,-10286.874348958334,0.9005880951881409,1.2425402402877808,15.087800025939941,-13.84525978565216
14m,30000,436391.2959929436,-872732.28125,-218170.4926285282,0.8850758671760559,1.1891640424728394,15.12492847442627,-13.93576443195343
14m,70000,-699109.796875,-1414667.578125,-1056888.6875,0.8815370202064514,1.4692095518112183,237.99271774291992,-236.5235081911087
14m,100000,-2648158.3125,-14048131.75,-8348145.03125,0.7353813052177429,1.7649788856506348,657.2418212890625,-655.4768424034119
14m,143000,1847448.0,-13869937.5,-6011244.75,0.7330090999603271,1.7503113746643066,961.6621398925781,-959.9118285179138
31m,1000,-21462.2490234375,-9012.248901367188,-15237.248962402344,0.9298239350318909,1.0879954099655151,15.078595161437988,-13.990599751472473
31m,10000,-29575.40625,17480.75362076298,-6047.326314618511,0.9378846287727356,1.0575182437896729,15.648514747619629,-14.590996503829956
31m,30000,317307.17523036856,-103138.69921875,107084.23800580928,0.8862261176109314,1.1661268472671509,13.949382781982422,-12.783255934715271
31m,70000,-373595.5859375,-20092.138346354168,-196843.8621419271,0.9345594644546509,1.192499041557312,18.886021614074707,-17.693522572517395
31m,100000,-170542.04166666666,-663879.32734375,-417210.68450520834,0.8630255460739136,1.348656415939331,295.1896743774414,-293.8410179615021
31m,143000,-446348.6666666667,594314.0207421875,73982.67703776041,0.8357921242713928,1.5080287456512451,732.8113098144531,-731.3032810688019
70m,1000,16978.41808629919,-26366.1396484375,-4693.860781069156,0.9772979021072388,0.8846723437309265,14.078012466430664,-13.193340122699738
70m,10000,12685.361784991095,-2737.353271484375,4974.00425675336,0.8845257759094238,0.9969120025634766,14.263663291931152,-13.266751289367676
70m,30000,-92685.984375,-56773.93359375,-74729.958984375,0.9306639432907104,1.1998345851898193,14.11231517791748,-12.912480592727661
70m,70000,-15641.015625,-375943.125,-195792.0703125,0.8884214162826538,1.278279185295105,28.515913009643555,-27.23763382434845
70m,100000,48830.39453125,-573597.74609375,-262383.67578125,0.9239140152931213,1.2016910314559937,119.00191497802734,-117.80022394657135
70m,143000,-178047.91015625,-1808690.375,-993369.142578125,0.8976150155067444,2.089261770248413,382.14666748046875,-380.05740571022034
160m,1000,39240.913818359375,31421.45683494774,35331.18532665356,0.9657547473907471,1.2085394859313965,12.94808292388916,-11.739543437957764
160m,10000,13940.601375136264,-1690.529541015625,6125.03591706032,0.9489119648933411,1.185495138168335,14.62163496017456,-13.436139822006226
160m,30000,-24566.665283203125,-26728.4072265625,-25647.536254882812,0.8937138319015503,1.358338475227356,14.317664623260498,-12.959326148033142
160m,70000,-187022.52734375,20294.28125,-83364.123046875,0.9475454092025757,1.3894059658050537,14.248731136322021,-12.859325170516968
160m,100000,-162695.41015625,-380708.015625,-271701.712890625,0.9144102334976196,1.2024881839752197,25.677942276000977,-24.475454092025757
160m,143000,-271855.8359375,-628584.40625,-450220.12109375,0.9203811883926392,1.3489394187927246,106.00553131103516,-104.65659189224243
410m,1000,-278407.390625,-323466.5390625,-300936.96484375,0.9735754132270813,1.222165584564209,14.06000280380249,-12.837837219238281
410m,10000,9229.720437442555,16109.166897243924,12669.44366734324,0.9623178839683533,1.2728725671768188,15.035442352294922,-13.762569785118103
