Model_Size,Training_Step,Trace_Seed1,Trace_Seed2,Avg_Trace,CKA_Similarity,Midpoint_Loss,Avg_Endpoint_Loss,Loss_Barrier
14m,1000,13657.343873765734,-5679.91064453125,3988.716614617242,0.8597971200942993,1.2577205896377563,14.241257190704346,-12.98353660106659
14m,10000,-11731.118896484375,16215.753011067709,2242.317057291667,0.9286511540412903,1.2000324726104736,15.467595100402832,-14.267562627792358
14m,30000,1378946.862287555,250198.474609375,814572.668448465,0.8219345808029175,1.2771512269973755,14.862413883209229,-13.585262656211853
14m,70000,-14654.346625434027,31066474.21345339,15525909.933413979,0.8973854184150696,1.3917288780212402,233.80820846557617,-232.41647958755493
14m,100000,-3075686.625,-3779958.7798295454,-3427822.7024147725,0.8122220635414124,1.8572832345962524,647.629150390625,-645.7718671560287
14m,143000,-14172996.5,-75187688.0,-44680342.25,0.6720088720321655,2.9984490871429443,946.7467041015625,-943.7482550144196
31m,1000,-10879.382568359375,-15734.5859375,-13306.984252929688,0.9136252999305725,1.2042829990386963,14.842126846313477,-13.63784384727478
31m,10000,6021.411162376404,13580.351091657367,9800.881127016884,0.9346984624862671,1.2634317874908447,15.395423412322998,-14.131991624832153
31m,30000,191122.7979835304,-3394.7790178571427,93864.00948283664,0.8898213505744934,1.2655982971191406,13.922480583190918,-12.656882286071777
31m,70000,36529.9482421875,141290.72056361608,88910.33440290179,0.9330456256866455,1.3166145086288452,18.79126739501953,-17.474652886390686
31m,100000,-708344.5703125,107719.66666666667,-300312.4518229167,0.9318287968635559,2.3313608169555664,290.8002700805664,-288.46890926361084
31m,143000,1404.75,-2799418.1875,-1399006.71875,0.9177629351615906,1.554342269897461,721.0382995605469,-719.4839572906494
70m,1000,35345.83667618189,-22894.90283203125,6225.46692207532,0.970644474029541,1.1355730295181274,13.869061470031738,-12.73348844051361
70m,10000,7101.400504834724,3660.6255178833007,5381.013011359013,0.8892709612846375,1.1884983777999878,14.138858318328857,-12.95035994052887
70m,30000,267.0305989583333,40180.21827189127,20223.624435424805,0.9094802737236023,1.2620002031326294,13.972282886505127,-12.710282683372498
70m,70000,62952.349330357145,-510718.203125,-223882.92689732142,0.9452756643295288,1.285743236541748,28.187429428100586,-26.901686191558838
70m,100000,-32460.6015625,-9250.33046875,-20855.466015625,0.8716421723365784,1.470550775527954,117.38436317443848,-115.91381239891052
70m,143000,589245.670440051,-20676344.75,-10043549.539779974,0.9150094389915466,1.778681755065918,376.4055633544922,-374.62688159942627
160m,1000,35929.436565896736,-3738.35546875,16095.540548573368,0.9557451605796814,1.1555554866790771,12.947608947753906,-11.792053461074829
160m,10000,2210.914520263672,-1504.85439453125,353.030062866211,0.9237490892410278,1.2673094272613525,14.628422737121582,-13.36111330986023
160m,30000,-2779.414208984375,-106476.41796875,-54627.91608886719,0.9388060569763184,1.264641523361206,14.308193683624268,-13.043552160263062
160m,70000,-93861.830078125,28259.778551184612,-32801.02576347019,0.9731801748275757,1.3854992389678955,14.09406042098999,-12.708561182022095
160m,100000,-103928.5419921875,-1013071.3125,-558499.9272460938,0.9575515985488892,1.4468060731887817,25.27203369140625,-23.82522761821747
160m,143000,-2250894.5,-252005.208984375,-1251449.8544921875,0.8995645642280579,1.6977120637893677,104.27673530578613,-102.57902324199677
410m,1000,-158073.01432291666,-166745.8125,-162409.4134114583,0.9386122226715088,1.2957309484481812,13.848227500915527,-12.552496552467346
410m,10000,10056.672815783271,-2573.7965087890625,3741.4381534971044,0.9602841734886169,1.3448303937911987,14.975002765655518,-13.630172371864319
410m,30000,7438.075746459961,13367.215065469547,10402.645405964755,0.973854124546051,1.285149335861206,14.34610366821289,-13.060954332351685
410m,70000,55298.002734375,-27084.275024414062,14106.863854980467,0.9570617079734802,1.3622498512268066,14.183911800384521,-12.821661949157715
410m,100000,-12353.261962890625,-44153.8994140625,-28253.580688476562,0.9516255259513855,1.5224368572235107,14.068957805633545,-12.546520948410034
410m,143000,46427.35902426276,-55339.189453125,-4455.915214431119,0.9655718207359314,2.1303834915161133,13.929343700408936,-11.798960208892822
